prolific_id,n_hit,n_fa,n_miss,n_cr,dprime,beta,aprime,bppd,c
616323b9520ffc74cfc92c4e,0,1,16,15,-0.53780772,0.418292441,0.234375,NA,1.6206061
616362561686865ed3927d00,15,0,1,16,3.2412122,2.390671939,0.984375,NA,0.26890386
6163b7cb7fff1e68acfddfab,13,0,3,16,2.710302049,4.255763232,0.953125,NA,0.534358936
6163c84b2ac5757cbed5c68a,15,4,1,12,1.980606458,0.488806186,0.9125,NA,-0.361399011
61645fccc9e03464d67350e7,16,2,0,14,2.938641358,0.290897124,0.96875,NA,-0.420189281
61651678b1e8cb5079ebe9d2,15,1,1,15,2.70340448,1,0.966666667,NA,0
61687f084dd0608f43a02d0e,13,1,3,15,2.172494328,1.780153589,0.930769231,NA,0.265455076
6169262c8dd60e7f3216c016,10,8,6,8,0.29930691,0.95619605,0.6125,NA,-0.149653455
616d50472a9af48a47847e01,12,2,4,14,1.678035616,1.422730749,0.886904762,NA,0.21011359
617118971b29a7f27b2baec5,13,0,3,16,2.710302049,4.255763232,0.953125,NA,0.534358936
6171aa5fff416f8783493856,15,0,1,16,3.2412122,2.390671939,0.984375,NA,0.26890386
62a7383cd8923ffcc123f607,0,0,16,16,0,1,NA,NA,1.88950996
